Version;SupportBegin;SupportEnd
0.12.128;2024-12-26T11:54:09;2027-01-26T11:54:09
0.12.129;2025-01-11T23:06:07;2027-04-11T23:06:07
0.12.130;2025-01-13T22:25:17;2027-04-13T22:25:17
0.12.131;2025-01-14T00:07:45;2027-04-14T00:07:45
0.12.132;2025-01-15T22:54:28;2027-04-15T22:54:28
0.12.133;2025-01-18T19:36:04;2027-04-18T19:36:04
0.12.134;2025-02-09T15:19:02;2027-05-11T00:00:00
0.12.135;2025-02-12T23:30:01;2027-05-14T00:00:00
0.12.136;2025-03-02T11:56:05;2027-06-01T00:00:00
0.12.137;2025-03-03T21:55:08;2027-06-02T00:00:00
0.12.138;2025-03-04T00:30:39;2027-06-03T00:00:00
0.12.139;2025-03-04T01:07:17;2027-06-03T00:00:00
0.12.140;2025-03-07T14:22:12;2027-06-06T00:00:00
0.12.141;2025-03-11T08:59:53;2027-06-10T00:00:00
0.12.142;2025-03-18T20:58:45;2027-06-17T00:00:00
